MSSQLType;SnowflakeType
BIT;BOOLEAN
DATE();DATE
DATETIME();TIMESTAMP_NTZ
DATETIME2;TIMESTAMP_NTZ
DATETIMEOFFSET;TIMESTAMP_TZ
SMALLDATETIME;TIMESTAMP_NTZ
TIME;TIME
DECIMAL();NUMBER()
NUMERIC;NUMBER()
FLOAT;FLOAT()
REAL;FLOAT()
INT;NUMBER()
INTEGER;NUMBER()
BIGINT;NUMBER()
SMALLINT;NUMBER()
TINYINT;NUMBER()
MONEY;NUMBER()
SMALLMONEY;NUMBER()
CHAR;VARCHAR()
HIERARCHYID;VARCHAR()
NCHAR;VARCHAR()
NTEXT;VARCHAR()
NVARCHAR;VARCHAR()
TEXT;VARCHAR()
UNIQUEIDENTIFIER;VARCHAR()
VARCHAR;VARCHAR()
BINARY;BINARY
IMAGE;BINARY
VARBINARY;BINARY
SQL_VARIANT;VARCHAR()
XML;VARCHAR()
GEOMETRY;VARCHAR()
GEOGRAPHY;VARCHAR()
